PLOT,TREATMENT,REP,DISTREP,SAMP,DATE,PLANTDIST,NRSTHT,POADIST,POAHT,Mortality
20,OTC,203GC,1,0,15/05/2010,7,10,23,4,0
20,OTC,203GC,2,0,15/05/2010,6,2,5.5,2,0
20,OTC,203GC,3,0,15/05/2010,16,1.1,15.5,1.1,0
20,OTC,203GC,4,0,15/05/2010,1,2.5,9,5.5,0
20,OTC,204GC,1,0,15/05/2010,15,4,25,2.5,0
20,OTC,204GC,2,0,15/05/2010,5,8,5,8,0
20,OTC,204GC,3,0,15/05/2010,7,3.5,7,3.5,0
20,OTC,204GC,4,0,15/05/2010,4,4.5,6.5,5.5,0
21,OTC,211GC,1,0,15/05/2010,0,3.2,0,1.5,0
21,OTC,211GC,2,0,15/05/2010,8,4.5,7.5,4.5,0
21,OTC,211GC,3,0,15/05/2010,5,3.5,4.5,3.5,0
21,OTC,211GC,4,0,15/05/2010,9,2,NA,NA,0
21,OTC,212GC,1,0,15/05/2010,6,5,15,0.5,0
21,OTC,212GC,2,0,15/05/2010,8,5.2,7.5,5.2,0
21,OTC,212GC,3,0,15/05/2010,10,5,9.5,5,0
21,OTC,212GC,4,0,15/05/2010,2,1,NA,NA,0
21,OTC,213GC,1,0,15/05/2010,6,5,6,5,0
21,OTC,213GC,2,0,15/05/2010,11,3,10.5,3,0
21,OTC,213GC,3,0,15/05/2010,12,5.5,NA,NA,0
21,OTC,213GC,4,0,15/05/2010,11,4,11,4,0
21,OTC,214GC,1,0,15/05/2010,20,4.5,NA,NA,0
21,OTC,214GC,2,0,15/05/2010,11,4.2,11,4.2,0
21,OTC,214GC,3,0,15/05/2010,10,3,15,7,0
21,OTC,214GC,4,0,15/05/2010,9,4,12,5.5,0
22,CTL,221GC,1,0,15/05/2010,4,2.5,4,2.5,0
22,CTL,221GC,2,0,15/05/2010,2,1.5,2,1.5,0
22,CTL,221GC,3,0,15/05/2010,5,3.5,12.5,6,0
22,CTL,221GC,4,0,15/05/2010,13,0.5,NA,NA,0
22,CTL,222GC,1,0,15/05/2010,4,1.8,4,1.8,0
22,CTL,222GC,2,0,15/05/2010,8,1.5,7.5,1.5,0
22,CTL,222GC,3,0,15/05/2010,6,3,6,3,0
22,CTL,222GC,4,0,15/05/2010,10,1,NA,NA,0
22,CTL,223GC,1,0,15/05/2010,1,1.8,9.5,3.5,0
22,CTL,223GC,2,0,15/05/2010,2,3.5,2,3.5,0
22,CTL,223GC,3,0,15/05/2010,5,3.5,5,3.5,0
22,CTL,223GC,4,0,15/05/2010,12,3.5,11.5,3.5,0
22,CTL,224GC,1,0,15/05/2010,4,1,9,4.5,0
22,CTL,224GC,2,0,15/05/2010,2,1.2,10.5,1.5,0
22,CTL,224GC,3,0,15/05/2010,5,0.5,NA,NA,0
22,CTL,224GC,4,0,15/05/2010,3,1,9,2,0
23,CTL,231GC,1,0,15/05/2010,4,2.5,11.5,3,0
23,CTL,231GC,2,0,15/05/2010,5,2,15,6,0
23,CTL,231GC,3,0,15/05/2010,6,2,7,3.5,0
23,CTL,231GC,4,0,15/05/2010,2,1.5,1.5,1.5,0
23,CTL,232GC,1,0,15/05/2010,2,0.8,5,5.5,0
23,CTL,232GC,2,0,15/05/2010,5,2.5,13,1.5,0
23,CTL,232GC,3,0,15/05/2010,3,2,9.5,4.5,0
23,CTL,232GC,4,0,15/05/2010,8,4.5,10,5,0
23,CTL,233GC,1,0,15/05/2010,2,3,2,3,0
23,CTL,233GC,2,0,15/05/2010,3,1.5,21,1,0
23,CTL,233GC,3,0,15/05/2010,4,3,11,2.3,0
23,CTL,233GC,4,0,15/05/2010,3,2.5,7,2.5,0
23,CTL,234GC,1,0,15/05/2010,7,2.5,6.5,2.5,0
23,CTL,234GC,2,0,15/05/2010,5,6.5,5,6.5,0
23,CTL,234GC,3,0,15/05/2010,5,1.5,NA,NA,0
23,CTL,234GC,4,0,15/05/2010,3,2,2.5,2,0
24,OTC,241GC,1,0,15/05/2010,10,7,10.5,4.5,0
24,OTC,241GC,2,0,15/05/2010,4,4.5,7,2.5,0
24,OTC,241GC,3,0,15/05/2010,7,4,15,5,0
24,OTC,241GC,4,0,15/05/2010,4,4,3.5,4,0
24,OTC,242GC,1,0,15/05/2010,8,5,9,7,0
24,OTC,242GC,2,0,15/05/2010,4,1,NA,NA,0
24,OTC,242GC,3,0,15/05/2010,5,5,9,4.4,0
24,OTC,242GC,4,0,15/05/2010,2,0.5,10,4,0
24,OTC,243GC,1,0,15/05/2010,8,3.5,20,1.5,0
24,OTC,243GC,2,0,15/05/2010,10,7,10,7,0
24,OTC,243GC,3,0,15/05/2010,10,5.5,10,5.5,0
24,OTC,243GC,4,0,15/05/2010,12,5,11.5,5,0
24,OTC,244GC,1,0,15/05/2010,19,2.5,NA,NA,0
24,OTC,244GC,2,0,15/05/2010,2,2,1.5,0.8,0
24,OTC,244GC,3,0,15/05/2010,12,3.2,11.5,3.2,0
24,OTC,244GC,4,0,15/05/2010,13,3,13,3,0
25,CTL,251GC,1,0,15/05/2010,5,1.5,12,3.5,0
25,CTL,251GC,2,0,15/05/2010,8,4,NA,NA,0
25,CTL,251GC,3,0,15/05/2010,5,4.5,11,7,0
25,CTL,251GC,4,0,15/05/2010,7,3,19,3,0
25,CTL,252GC,1,0,15/05/2010,1,1.5,6,2,0
25,CTL,252GC,2,0,15/05/2010,5,2,9.5,2.5,0
25,CTL,252GC,3,0,15/05/2010,5,3,4.5,3,0
25,CTL,252GC,4,0,15/05/2010,3,1.5,8,3.5,0
25,CTL,253GC,1,0,15/05/2010,5,4.5,5,4.5,0
25,CTL,253GC,2,0,15/05/2010,3,2.5,3,2.5,0
25,CTL,253GC,3,0,15/05/2010,8,3,8,3,0
25,CTL,253GC,4,0,15/05/2010,5,3,5,3,0
25,CTL,254GC,1,0,15/05/2010,2,1.5,2,1.5,0
25,CTL,254GC,2,0,15/05/2010,2,0.5,7,2,0
25,CTL,254GC,3,0,15/05/2010,2,1,3.5,1,0
25,CTL,254GC,4,0,15/05/2010,3,1.5,5,5.5,0
26,OTC,261GC,1,0,15/05/2010,6,1,5.5,1,0
26,OTC,261GC,2,0,15/05/2010,8,4,10,3.5,0
26,OTC,261GC,3,0,15/05/2010,2,1.5,9,7,0
26,OTC,261GC,4,0,15/05/2010,NA,NA,NA,NA,0
26,OTC,262GC,1,0,15/05/2010,9,12.5,8.5,12.5,0
26,OTC,262GC,2,0,15/05/2010,3,2,NA,NA,0
26,OTC,262GC,3,0,15/05/2010,9,4,8.5,4,0
26,OTC,262GC,4,0,15/05/2010,2,3.5,10,2,0
