SITE,PLOT,TRT,TRT2,SPP,REP,DATE,SAMP,Ht,FBD,BD,Mortality,Notes
ITEXJ,1,CTL,NORMAL,ASTTRY,14A,22/11/2010,1,81.04,2.13,1.81,0,
ITEXJ,1,CTL,NORMAL,ASTTRY,14A,25/04/2011,2,81.24,2.38,2.32,0,
ITEXJ,1,CTL,NORMAL,ASTTRY,14A,30/10/2011,3,79.46,2.61,2.53,0,SICK
ITEXJ,1,CTL,NORMAL,ASTTRY,14A,8/05/2012,4,NA,NA,NA,1,SICK
ITEXJ,1,CTL,NORMAL,ASTTRY,14A,5/11/2012,5,NA,NA,NA,1,SICK
ITEXJ,1,CTL,NORMAL,ASTTRY,14A,13/04/2013,6,NA,NA,NA,1,SICK
ITEXJ,1,CTL,NORMAL,GREAUS,14G,15/05/2010,0,30,1.5,1.4,0,
ITEXJ,1,CTL,NORMAL,GREAUS,14G,22/11/2010,1,29.52,1.49,1.51,0,
ITEXJ,1,CTL,NORMAL,GREAUS,14G,25/04/2011,2,50.95,1.92,2.23,0,NEAR POA TUSSOCK
ITEXJ,1,CTL,NORMAL,GREAUS,14G,30/10/2011,3,39.85,1.97,2.06,0,NEAR POA TUSSOCK
ITEXJ,1,CTL,NORMAL,GREAUS,14G,8/05/2012,4,59.67,2.42,2.43,0,NEAR POA TUSSOCK
ITEXJ,1,CTL,NORMAL,GREAUS,14G,5/11/2012,5,57.56,2.25,2.08,0,NEAR POA TUSSOCK
ITEXJ,1,CTL,NORMAL,GREAUS,14G,13/04/2013,6,65.69,2.29,2.31,0,NEAR POA TUSSOCK
ITEXJ,1,CTL,COMP,GREAUS,14GC,15/05/2010,0,60.5,1.2,1.2,0,
ITEXJ,1,CTL,COMP,GREAUS,14GC,22/11/2010,1,62.72,1.35,1.55,0,
ITEXJ,1,CTL,COMP,GREAUS,14GC,25/04/2011,2,52.57,1.61,1.7,0,
ITEXJ,1,CTL,COMP,GREAUS,14GC,30/10/2011,3,51.9,1.45,1.41,0,
ITEXJ,1,CTL,COMP,GREAUS,14GC,8/05/2012,4,55.63,1.9,2.08,0,
ITEXJ,1,CTL,COMP,GREAUS,14GC,5/11/2012,5,53.47,1.65,1.65,0,
ITEXJ,1,CTL,COMP,GREAUS,14GC,13/04/2013,6,57.93,1.64,1.85,0,
ITEXJ,1,CTL,NORMAL,PHESQU,14PH,15/05/2010,0,57.9,1.5,1.3,0,
ITEXJ,1,CTL,NORMAL,PHESQU,14PH,22/11/2010,1,58.06,1.21,1.18,0,
ITEXJ,1,CTL,NORMAL,PHESQU,14PH,25/04/2011,2,62.61,1.69,1.41,0,NEAR POA TUSSOCK
ITEXJ,1,CTL,NORMAL,PHESQU,14PH,30/10/2011,3,61.35,2.17,1.25,0,NEAR POA TUSSOCK
ITEXJ,1,CTL,NORMAL,PHESQU,14PH,8/05/2012,4,69.58,1.72,1.72,0,NEAR POA TUSSOCK
ITEXJ,1,CTL,NORMAL,PHESQU,14PH,5/11/2012,5,79.18,1.38,1.08,0,NEAR POA TUSSOCK
ITEXJ,1,CTL,NORMAL,PHESQU,14PH,13/04/2013,6,81.4,1.85,1.13,0,NEAR POA TUSSOCK
ITEXJ,1,CTL,NORMAL,PROCUN,14PR,15/05/2010,0,92.8,3.8,3.7,0,
ITEXJ,1,CTL,NORMAL,PROCUN,14PR,22/11/2010,1,97.84,3.37,3.21,0,
ITEXJ,1,CTL,NORMAL,PROCUN,14PR,25/04/2011,2,106.35,5.7,5.51,0,
ITEXJ,1,CTL,NORMAL,PROCUN,14PR,30/10/2011,3,111,5.67,4.84,0,
ITEXJ,1,CTL,NORMAL,PROCUN,14PR,8/05/2012,4,122.61,7.06,5.46,0,
ITEXJ,1,CTL,NORMAL,PROCUN,14PR,5/11/2012,5,122.61,7.06,5.46,0,
ITEXJ,1,CTL,NORMAL,PROCUN,14PR,13/04/2013,6,143.2,8.27,6.72,0,
ITEXJ,2,OTC,NORMAL,ASTTRY,21A,15/05/2010,0,114.8,2,1.7,0,
ITEXJ,2,OTC,NORMAL,ASTTRY,21A,22/11/2010,1,NA,NA,NA,1,
ITEXJ,2,OTC,NORMAL,ASTTRY,21A,25/04/2011,2,NA,NA,NA,1,
ITEXJ,2,OTC,NORMAL,ASTTRY,21A,30/10/2011,3,NA,NA,NA,1,
ITEXJ,2,OTC,NORMAL,ASTTRY,21A,8/05/2012,4,NA,NA,NA,1,
ITEXJ,2,OTC,NORMAL,ASTTRY,21A,5/11/2012,5,NA,NA,NA,1,
ITEXJ,2,OTC,NORMAL,ASTTRY,21A,13/04/2013,6,NA,NA,NA,1,
ITEXJ,2,OTC,NORMAL,GREAUS,21G,15/05/2010,0,102.9,1.7,1.6,0,
ITEXJ,2,OTC,NORMAL,GREAUS,21G,22/11/2010,1,102.74,2.35,1.91,0,
ITEXJ,2,OTC,NORMAL,GREAUS,21G,25/04/2011,2,149,3.43,3.15,0,
ITEXJ,2,OTC,NORMAL,GREAUS,21G,30/10/2011,3,147.4,3.22,3.19,0,
ITEXJ,2,OTC,NORMAL,GREAUS,21G,8/05/2012,4,158.77,4.32,4.19,0,
ITEXJ,2,OTC,NORMAL,GREAUS,21G,5/11/2012,5,150.91,4.7,4.4,0,
ITEXJ,2,OTC,NORMAL,GREAUS,21G,13/04/2013,6,160.75,5.17,4.52,0,
ITEXJ,2,OTC,COMP,GREAUS,21GC,15/05/2010,0,64.6,2.2,1.6,0,
ITEXJ,2,OTC,COMP,GREAUS,21GC,22/11/2010,1,63.53,2.19,2.1,0,
ITEXJ,2,OTC,COMP,GREAUS,21GC,25/04/2011,2,63.72,3.16,3,0,
ITEXJ,2,OTC,COMP,GREAUS,21GC,30/10/2011,3,72.9,3.08,2.86,0,ANT NEST
ITEXJ,2,OTC,COMP,GREAUS,21GC,8/05/2012,4,73.15,1.53,1.93,0,ANT NEST
